REGION,CHURN_mean,CHURN_median
DAKAR,0.019235452616648906,0.0
DIOURBEL,0.028097024405553644,0.0
FATICK,0.014196335886429313,0.0
KAFFRINE,0.007187862520756091,0.0
KAOLACK,0.023436372259913803,0.0
KEDOUGOU,0.04215686274509804,0.0
KOLDA,0.010763234648839791,0.0
LOUGA,0.01595105650510333,0.0
MATAM,0.02008045937489255,0.0
SAINT-LOUIS,0.012678711442537077,0.0
SEDHIOU,0.043603719140750244,0.0
TAMBACOUNDA,0.015361150452118968,0.0
THIES,0.016300846422144712,0.0
ZIGUINCHOR,0.027432216905901117,0.0
